id;first_name;last_name;email;phone_number;available_date;expected_salary
1;Arthur;Blanda;Nikita.Ziemann69@yahoo.com;"(258)415-6837";2023-01-22T14:41:17;42511
2;Marcel;Boyer;Brock.Howe21@hotmail.com;"(306)424-2244";2023-01-22T06:33:00;76247
3;Salvador;Reichel;Xavier_Price98@gmail.com;"(198)253-7792";2023-01-22T16:02:30;89608
4;Chelsey;Monahan;Barrett.Gislason@hotmail.com;"(489)096-7061";2023-01-22T19:15:45;5142
5;Name;Wiza;Sedrick65@gmail.com;"(321)602-1017";2023-01-22T08:41:04;3370
6;Letha;Kris;Loyal_Aufderhar@gmail.com;"322-189-5717";2023-01-23T00:29:38;67802
7;Payton;Hoppe;Keanu32@yahoo.com;"(260)293-4587";2023-01-22T12:43:51;53777
8;Jose;Quitzon;Norris30@hotmail.com;"(420)612-9743";2023-01-22T14:02:42;61553
9;Wilbert;Wehner;Guy10@yahoo.com;"115-923-6172";2023-01-22T10:38:41;10574
10;Giovani;Hills;Rachel.Weber@gmail.com;"(562)956-1225";2023-01-22T19:53:39;84881
